"mainmenu.update","itch.io تتوفر نسخة جديدة، قم بتنزيلها على"
"mainmenu.sharedata","هل تقبل(ي) بمشاركة المعلومات الإحصائية مع Source Macchiato؟"
"mainmenu.newgame","لعبة جديدة"
"mainmenu.continue","إستمر"
"mainmenu.customnight","ليلة مخصصة"
"mainmenu.night","الليل"
"mainmenu.options","إعدادات"
"mainmenu.language","اللغة"
"mainmenu.credits","شكر وتقدير"
"mainmenu.layout","تَخطِيط"
"mainmenu.volume","مستوى الصوت"
"mainmenu.controls","عناصر التحكم"
"mainmenu.motioncontrolsdescription","عناصر التحكم بالحركة في جهاز التحكم عن بعد Wii"
"mainmenu.displaypointerdescription","عرض مؤشر جهاز التحكم عن بعد Wii"
"mainmenu.shareanalyticsdescription","مشاركة بيانات التحليلات"
"mainmenu.audio","الصوت"
"mainmenu.generalvolume","الصوت العام"
"mainmenu.musicvolume","صوت الموسيقى"
"mainmenu.voicevolume","مستوى الصوت"
"mainmenu.sfxvolume","حجم المؤثرات الصوتية"
"customnight.ailevel","مستوى الذكاء الصناعي"
"customnight.ready","جاهز"
"difficulty.easy","سهل"
"difficulty.medium","متوسطة"
"difficulty.hard","صعب"
"difficulty.extreme","شديد"
"nextnight.firstnight","الليلة الأولى"
"nextnight.secondnight","الليلة الثانية"
"nextnight.thirdnight","الليلة الثالثة"
"nextnight.fourthnight","الليلة الرابعة"
"nextnight.fifthnight","الليلة الخامسة"
"nextnight.sixthnight","الليلة السادسة"
"nextnight.seventhnight","الليلة السابعة"
"office.night","الليلة"
"office.usage","الاستخدام:"
"office.power","الطاقة المتبقية:"
"camera.showstage","عرض المسرح"
"camera.diningarea","منطقة الطعام"
"camera.piratecove","خليج القراصنة"
"camera.westhall","القاعة الغربية"
"camera.westhallcorner","زاوية القاعة الغربية"
"camera.supplycloset","خزانة اللوازم"
"camera.easthall","القاعة الشرقية"
"camera.easthallcorner","زاوية القاعة الشرقية"
"camera.backstage","خلف الكواليس"
"camera.kitchen","المطبخ"
"camera.restrooms","المراحيض"
"nightone.phoneguy.lineone","مرحبًا؟ مرحبًا، مرحبًا؟ أردت أن أسجل لك رسالة لمساعدتك على الاستقرار في ليلتك الأولى."
"nightone.phoneguy.linetwo","حسنًا، لقد عملت في هذا المكتب قبلك. أنا أنهي أسبوعي الأخير الآن، في الواقع. لذا،"
"nightone.phoneguy.linethree","أعلم أن الأمر قد يبدو مرهقًا بعض الشيء، ولكنني هنا لأخبرك أنه لا داعي للقلق."
"nightone.phoneguy.linefour","حسنًا، ستكون بخير. لذا، دعنا نركز فقط على مساعدتك في اجتياز أسبوعك الأول، حسنًا؟"
"nightone.phoneguy.linefive","حسنًا، دعنا نرى، أولًا هناك تحية تمهيدية من الشركة من المفترض أن أقرأها."
"nightone.phoneguy.linesix","حسنًا، إنه أمر قانوني نوعًا ما، كما تعلم. مرحبًا بكم في مطعم بيتزا فريدي فازبيرز."
"nightone.phoneguy.lineseven","مكان سحري للأطفال والكبار على حد سواء، حيث يتحول الخيال والمتعة إلى حقيقة."
"nightone.phoneguy.lineheight","شركة فازبير انترتينمنت ليست مسؤولة عن أي ضرر يلحق بالممتلكات أو الأشخاص."
"nightone.phoneguy.linenine","عند اكتشاف حدوث ضرر أو وفاة، سيتم تقديم تقرير عن الشخص المفقود في غضون ٩٠ يومًا، أو في أقرب وقت ممكن"
"nightone.phoneguy.lineten","تم تنظيف الممتلكات والمباني جيدًا وتبييضها، وتم استبدال السجاد."""
"nightone.phoneguy.lineeleven","بلاه، بلاه، بلاه. قد يبدو هذا سيئًا، أعلم ذلك، لكن لا يوجد ما يدعو للقلق حقًا."
"nightone.phoneguy.linetwelve","حسنًا، الشخصيات المتحركة هنا تصبح غريبة بعض الشيء في الليل، لكن هل ألومها؟ لا."
"nightone.phoneguy.linethirteen","إذا أُجبرت على غناء نفس تلك الأغاني الغبية لمدة عشرين عامًا ولم أستحم أبدًا؟"
"nightone.phoneguy.linefourteen","ربما أكون أيضًا سريع الانفعال بعض الشيء في الليل. لذا، تذكر أن هذه الشخصيات تحمل"
"nightone.phoneguy.linefifteen","مكانة خاصة في قلوب الأطفال وعلينا أن نظهر لهم القليل من الاحترام، أليس كذلك؟ تمام."
"nightone.phoneguy.linesixteen","لذا، فقط كن على علم بأن الشخصيات تميل إلى التجول قليلاً. حسنًا، لقد تُركوا في نوع من"
"nightone.phoneguy.lineseventeen","وضع التجوال الحر في الليل. آه... هناك شيء ما يتعلق بتوقف محركات السيرفو الخاصة بهم"
"nightone.phoneguy.lineeighteen","إذا تم إيقاف تشغيلها لفترة طويلة جدًا. آه، كان يُسمح لهم بالتجول خلال النهار أيضًا."
"nightone.phoneguy.linenineteen","ولكن بعد ذلك جاءت العضة ٨٧ . نعم، من المدهش أن جسم الإنسان يستطيع أن يعيش بدون الفص الجبهي، هل تعلم؟"
"nightone.phoneguy.linetwenty","حسنًا، الآن فيما يتعلق بسلامتك، الخطر الحقيقي الوحيد الذي قد تتعرض له كحارس ليلي هنا، إن وجد،"
"nightone.phoneguy.linetwentyone","الحقيقة هي أن هذه الشخصيات، إذا صادف أن رأوك بعد ساعات العمل، ربما لن يتعرفوا عليك كشخص."
"nightone.phoneguy.linetwentytwo","سوف يرونك على الأرجح كهيكل معدني بدون زيّه."
"nightone.phoneguy.linetwentythree","بما أن هذا مخالف للقواعد هنا في مطعم فريدي فازبير بيزا، فمن المحتمل أنهم سيحاولون..."
"nightone.phoneguy.linetwentyfour","وضعك بقوة داخل بدلة فريدي فازبير. حسنًا، لن يكون الأمر سيئًا للغاية"
"nightone.phoneguy.linetwentyfive","إذا لم تكن البدلات نفسها مليئة بالعوارض المتقاطعة والأسلاك والأجهزة الإلكترونية المتحركة،"
"nightone.phoneguy.linetwentysix","وخاصة حول منطقة الوجه. لذا، يمكنك أن تتخيل كيف أن وجود رأسك"
"nightone.phoneguy.linetwentyseven","سيظغط بقوة داخل واحدة منها قد يسبب القليل من الانزعاج ... والموت."
"nightone.phoneguy.linetwentyheight","أوه، الأجزاء الوحيدة منك التي من المحتمل أن ترى ضوء النهار مرة أخرى هم عيناك"
"nightone.phoneguy.linetwentynine","والأسنان عندما تظهر من مقدمة القناع، هاه."
"nightone.phoneguy.linethirty","ن-نعم، لا يخبرونك بهذه الأشياء عند التسجيل. لكن مهلاً، يجب أن يكون اليوم الأول سهلاً."
"nightone.phoneguy.linethirtyone","سأتحدث معك غدًا. حسنًا، تحقق من تلك الكاميرات، وتذكر إغلاق الأبواب"
"nightone.phoneguy.linethirtytwo","فقط إذا كان ذلك ضروريًا للغاية. يجب توفير الطاقة. حسنًا، تصبح على خير."
"nighttwo.phoneguy.lineone","أوه، مرحبًا؟ مرحبًا؟ حسنًا، إذا كنت تسمع هذا وقد وصلت إلى اليوم الثاني، تهانينا"
"nighttwo.phoneguy.linetwo","ل-لن أتحدث طويلاً هذه المرة لأن فريدي وأصدقائه يميلون إلى أن يصبحوا أكثر نشاطًا مع تقدم الأسبوع."
"nighttwo.phoneguy.linethree","أوه، قد تكون فكرة جيدة أن نلقي نظرة على تلك الكاميرات بينما أتحدث"
"nighttwo.phoneguy.linefour","فقط للتأكد من أن الجميع في مكانهم الصحيح. كما تعلم..."
"nighttwo.phoneguy.linefive","أوه... من المثير للاهتمام أن فريدي نفسه لا يظهر على المسرح في كثير من الأحيان."
"nighttwo.phoneguy.linesix","سمعت أنه أصبح أكثر نشاطًا في الظلام، لذا، مهلاً،"
"nighttwo.phoneguy.lineseven","أعتقد أن هذا سبب آخر لعدم نفاد الطاقة، أليس كذلك؟"
"nighttwo.phoneguy.lineheight","وأود أيضًا أن أؤكد على أهمية استخدام أضواء الباب الخاص بك."
"nighttwo.phoneguy.linenine","توجد نقاط عمياء في عرض الكاميرا الخاصة بك، وتوجد هذه النقاط العمياء خارج بابك مباشرة."
"nighttwo.phoneguy.lineten","لذا، إذا-إذا لم تتمكن من العثور على شيء أو شخص ما على كاميراتك، فتأكد من التحقق من أضواء الباب."
"nighttwo.phoneguy.lineeleven","اه، قد يكون لديك بضع ثوانٍ فقط للرد... اه، لا يعني ذلك أنك ستكون في أي خطر بالطبع."
"nighttwo.phoneguy.linetwelve","لا أقصد ذلك. كما يجب عليك التحقق من الستارة الموجودة في خليج القراصنة من وقت لآخر."
"nighttwo.phoneguy.linethirteen","تبدو الشخصية الموجودة هناك فريدة من نوعها حيث تصبح أكثر نشاطًا إذا ظلت الكاميرات مغلقة لفترات طويلة من الزمن."
"nighttwo.phoneguy.linefourteen","أعتقد أنه لا يحب أن يراقبه أحد. لا أعلم."
"nighttwo.phoneguy.linefifteen","على أية حال، أنا متأكد من أنك تسيطر على كل شيء! أوه، سأتحدث إليك قريبًا."
"nighthree.phoneguy.lineone","مرحبًا، مرحبًا؟ أنت بخير! لا يدوم معظم الأشخاص طويلاً."
"nighthree.phoneguy.linetwo","أعني، كما تعلمون، عادةً ما ينتقلون إلى أشياء أخرى بحلول هذا الوقت. أنا لا أقصد أنهم ماتوا."
"nighthree.phoneguy.linethree","ه-ه-هذا ليس ما قصدته. على أية حال، من الأفضل ألا أشغل وقتك كثيرًا."
"nighthree.phoneguy.linefour","تبدأ الأمور في أن تصبح حقيقية الليلة. اه... اسمع، لدي فكرة: إذا تم القبض عليك"
"nighthree.phoneguy.linefive","وإذا كنت تريد تجنب الوقوع في فخ زي فريدي، فحاول التظاهر بالموت! كما تعلم، استسلم."
"nighthree.phoneguy.linesix","ثم هناك فرصة أنهم ربما سيعتقدون أنك زي فارغ بدلاً من ذلك."
"nighthree.phoneguy.lineseven","مرة أخرى، إذا كانوا يعتقدون أنك زي فارغ، قد يحاولون... حشر هيكل معدني فيك."
"nighthree.phoneguy.lineheight","أتساءل كيف يمكن أن ينجح هذا. نعم، لا بأس، لا داعي لذلك. من الأفضل ألا يتم القبض عليك."
"nighthree.phoneguy.linenine","حسنًا، سأتركك وشأنك. أراك على الجانب الآخر!"
"nightfour.phoneguy.lineone","مرحبًا، مرحبًا؟ مرحبًا! مرحبًا، يا إلهي، اليوم الرابع. كنت أعلم أنك تستطيع القيام بذلك. اه، اسمع،"
"nightfour.phoneguy.linetwo","ربما لن أكون متاحًا لإرسال رسالة إليك غدًا. *ضرب* لقد-لقد كانت ليلة سيئة بالنسبة لي هنا."
"nightfour.phoneguy.linethree","أمم، أ-أنا سعيد نوعًا ما لأنني سجلت رسائلي لك *أصفي حنجرتي*، عندما فعلت ذلك."
"nightfour.phoneguy.linefour","اه، مهلا، اصنع لي معروفا. *ضرب* ربما في يوم من الأيام، حسنًا، يمكنك التحقق من داخل تلك البدلات في الغرفة الخلفية؟"
"nightfour.phoneguy.linefive","*ضرب* سأحاول الصمود حتى يأتي شخص ما ليفحصه. ربما لن يكون الأمر سيئًا للغاية."
"nightfour.phoneguy.linesix","*ضرب ضرب* أوه، ل-ل-ل-ل-لطالما تساءلت عما كان في كل تلك الرؤوس الفارغة هناك. *صوت الأجراس يلعب*."
"nightfour.phoneguy.lineseven","هل تعلم... *أنين عميق* أوه، لا - *ضوضاء تليها صرخة عالية وتشويش*"
"nightfive.phoneguy.lineone","نادرًا ما يعرف المعاصرون متعة الإبداع"
"nightfive.phoneguy.linetwo","سيتم إجراء عدد لا يحصى من الاستخدامات بواسطة المولدات الإحتياطية"
"nightfive.phoneguy.linethree","للإشارة إلى تأثير أنواع مختلفة من الأسمدة على نمو النباتات؟ أنت على حق."
"nightfive.phoneguy.linefour","ألا يكون من السهل استخدام بعضهم في التجارب المعملية السريعة؟"
"nightfive.phoneguy.linefive","ومن المؤسف أن التنمية الزراعية الشاملة تتسارع بفضل الاستخدام الكامل لآلياتكم الرائعة."
